1	60857
2	11230
3	12749
4	12673
5	16801
6	12532
7	12107
8	12199
9	8144
10	4479
11	4578
12	4571
13	4688
14	4604
15	3645
16	3612
17	3264
18	1998
19	2005
20	2595
21	2397
22	2020
23	2019
24	2016
25	2026
26	2001
27	2018
28	1999
29	2016
30	2012
31	2023
32	3508
33	1972
34	1973
35	4159
36	1964
37	1958
38	1991
39	1994
40	3140
41	2433
42	1972
43	3046
44	1974
45	2014
46	1973
47	1966
48	1956
49	1963
50	1960
51	1995
52	1953
53	1950
54	2312
55	1974
56	1975
57	2195
58	1967
59	1969
60	1989
61	2071
62	1972
63	2122
64	3226
65	5560
66	4194
67	3881
68	3907
69	4135
70	3896
71	3872
72	3876
73	4777
74	4015
75	3868
76	3847
77	3965
78	3844
79	3854
80	3841
81	3842
82	3842
83	3892
84	3840
85	3907
86	3851
87	6357
88	3862
89	7287
90	4909
91	4612
92	4810
93	4358
94	4341
95	5432
96	4033
97	5337
98	4062
99	5320
100	3879
101	5282
102	3839
103	5332
104	4123
105	5047
106	4338
107	6534
108	4150
109	3847
110	3891
111	4053
112	3859
113	3848
114	3851
115	3870
116	3855
117	3854
118	3866
119	4049
120	5276
121	6908
122	5435
123	3844
124	3888
125	3857
126	6815
127	6926
128	7118
129	12590
130	10930
131	10189
132	5910
133	6209
134	5903
135	5893
136	5884
137	5904
138	18513
139	21938
140	21433
141	21459
142	21388
143	21355
144	21412
145	21442
146	21318
147	21342
148	21455
149	21299
150	21632
151	21298
152	21421
153	21374
154	21193
155	23742
156	21469
157	21316
158	21733
159	21362
160	21455
161	21374
162	21357
163	21317
164	21334
165	21355
166	21301
167	21097
168	21399
169	21123
170	21337
171	19186
172	1750
173	1755
174	1744
175	1745
176	1753
177	1793
178	3646
179	1750
180	1760
181	1764
182	1751
183	1739
184	1783
185	1740
186	1743
187	1748
188	1743
189	1738
190	1747
191	1753
192	2755
193	3930
194	3900
195	3048
196	2352
197	2408
198	4358
199	2354
200	2357
201	2385
202	2354
203	2356
204	2370
205	2363
206	2664
207	2365
208	2367
209	2366
210	2538
211	2405
212	2375
213	2380
214	4155
215	2376
216	2358
217	2367
218	2353
219	2358
220	2369
221	2356
222	2504
223	2360
224	2367
225	2385
226	2361
227	2355
228	2362
229	4138
230	2384
231	2342
232	2370
233	2355
234	2478
235	2358
236	2348
237	2374
238	2368
239	2355
240	2351
241	2353
242	2369
243	2353
244	4166
245	2351
246	2485
247	2349
248	2375
